algorithm  : META_HEUR
instance   : in/gr_ulysses23_lpd
elapsedTime: 0 s
timeLimit  : 30 s
optimal    : No
sol. status: OK
n          : 23
m          : 289
k          : 11
capacity   : 130
depot      : 0
lowerBound : 0
cost       : 8045
upperBound : 1.79769e+308
tour       : 0 9 19 20 11 15 21 14 16 17 18 1 13 7 12 22 3 8 10 2 6 5 4
arc	load
(0,9)	0
(9,19)	40
(19,20)	60
(20,11)	20
(11,15)	55
(15,21)	65
(21,14)	55
(14,16)	60
(16,17)	68
(17,18)	60
(18,1)	40
(1,13)	50
(13,7)	100
(7,12)	130
(12,22)	120
(22,3)	90
(3,8)	110
(8,10)	90
(10,2)	85
(2,6)	50
(6,5)	0
(5,4)	15
(4,0)	0
